"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.590051792E0,1.078237221E-1,5.682268143E0,-4.693096504E-2,5.683484821E0
2.600088792E0,2.691227496E-1,5.321742535E0,-8.184981346E-2,5.329171610E0
2.610126792E0,4.279765785E-1,4.595029831E0,-1.063927040E-1,4.616143683E0
2.620164792E0,5.564179420E-1,3.609695673E0,-1.273524314E-1,3.654548183E0
2.630201792E0,6.525282264E-1,2.386365652E0,-1.312917769E-1,2.477452652E0
2.640239792E0,6.877143979E-1,1.021321416E0,-1.351858824E-1,1.238678227E0
2.650277792E0,6.791768670E-1,-4.064663649E-1,-1.262025088E-1,8.015130664E-1
2.660314792E0,5.878592730E-1,-1.796092749E0,-1.150156707E-1,1.893345265E0
2.670352792E0,4.631500840E-1,-3.077220678E0,-9.332049638E-2,3.113278628E0
2.680389792E0,2.774791718E-1,-4.152622223E0,-5.990369245E-2,4.162313596E0
2.690427792E0,6.871981919E-2,-4.967700958E0,-1.318944898E-2,4.968193755E0
2.700465792E0,-1.479180455E-1,-5.456585407E0,4.275087640E-2,5.458757340E0
2.710502792E0,-3.753536046E-1,-5.588765621E0,1.160317510E-1,5.602557886E0
2.720540792E0,-5.467380285E-1,-5.368588448E0,1.919111162E-1,5.399767983E0
2.730578792E0,-6.740235090E-1,-4.803334713E0,2.703995407E-1,4.857926303E0
2.740615792E0,-7.280871272E-1,-3.958964586E0,3.364160657E-1,4.039391938E0
2.750653792E0,-7.202662230E-1,-2.893035412E0,3.839340508E-1,3.005967844E0
2.760690792E0,-6.546174288E-1,-1.654180169E0,4.079887867E-1,1.825182418E0
2.770728792E0,-5.256879330E-1,-3.224404752E-1,3.963563442E-1,7.330852710E-1
2.780766792E0,-3.576910198E-1,1.016858697E0,3.650369942E-1,1.138066994E0
2.790803792E0,-1.671910882E-1,2.296916485E0,3.031424582E-1,2.322858917E0
2.800841792E0,5.321443826E-2,3.428363085E0,2.276308537E-1,3.436323766E0
2.810879792E0,2.669986486E-1,4.359356880E0,1.410935670E-1,4.369804124E0
2.820916792E0,4.760687351E-1,5.013390541E0,5.188728124E-2,5.036210723E0
2.830954792E0,6.664860249E-1,5.355510235E0,-3.502045199E-2,5.396936161E0
2.840991792E0,7.970282435E-1,5.344427586E0,-1.149973944E-1,5.404755743E0
